keys,hu
WORD_DOG,kutya
WORD_CAT,macska
WORD_COW,tehén
WORD_FISH,hal
WORD_BIRD,madár
WORD_APPLE,alma
WORD_WATERMELON,görögdinnye
WORD_BALL,labda
WORD_CAR,autó
WORD_HOUSE,ház
WORD_SUN,nap
WORD_FLOWER,virág
WORD_DUCK,kacsa
WORD_HORSE,ló
WORD_SHEEP,bárány
WORD_PIG,malac
WORD_RABBIT,nyuszi
WORD_BREAD,kenyér
WORD_EGG,tojás
WORD_CARROT,répa
WORD_PANCAKE,palacsinta
WORD_PEAR,körte
WORD_PEACH,őszibarack
WORD_SALAD,saláta
WORD_MOON,hold
WORD_CLOUD,felhő
WORD_MOUNTAIN,hegy
WORD_RAIN,eső
WORD_SNOW,hó
WORD_TREE,fa
WORD_RAINBOW,szivárvány
WORD_SHOE,cipő
WORD_BOOK,könyv
WORD_CUP,pohár
WORD_TABLE,asztal
WORD_CHAIR,szék
WORD_SPOON,kanál
WORD_KNIFE,kés
WORD_FORK,villa
WORD_NAPKIN,szalvéta
WORD_PLATE,tányér
WORD_COLOR_RED,piros
WORD_COLOR_BLUE,kék
WORD_COLOR_GREEN,zöld
WORD_COLOR_YELLOW,sárga
WORD_COLOR_ORANGE,narancssárga
WORD_COLOR_PINK,rózsaszín
WORD_COLOR_PURPLE,lila
WORD_COLOR_BROWN,barna
WORD_COLOR_BLACK,fekete
WORD_COLOR_WHITE,fehér
WORD_PLANE,repülő
WORD_BOAT,hajó
WORD_TRAIN,vonat
WORD_BUS,busz
WORD_DUMP_TRUCK,dömper
WORD_TRACTOR,traktor
WORD_EXCAVATOR,markoló
WORD_BICYCLE,bicikli
WORD_MOTORCYCLE,motor
WORD_FIRE_TRUCK,tűzoltóautó
